image_name,blur_score,result
Gambar1.jpg,111.33,"clear image, object visible, warehouse/logistics environment (API Quota Exceeded)"
Gambar10.jpg,121.43,"clear image, object visible, warehouse/logistics environment (API Quota Exceeded)"
Gambar11.jpg,110.75,"clear image, object visible, warehouse/logistics environment (API Quota Exceeded)"
Gambar2.jpg,1534.77,"clear image, object visible, warehouse/logistics environment (API Quota Exceeded)"
Gambar3.jpg,260.8,"clear image, object visible, warehouse/logistics environment (API Quota Exceeded)"
Gambar4.jpg,47.6,blur
Gambar5.jpg,98.24,blur
Gambar6.jpg,57.03,blur
Gambar7.jpg,416.76,"clear image, object visible, warehouse/logistics environment (API Quota Exceeded)"
Gambar8.jpg,410.42,"clear image, object visible, warehouse/logistics environment (API Quota Exceeded)"
Gambar9.jpg,18.31,blur
